Java HotSpot(TM) 64-Bit Server VM (25.261-b25) for linux-amd64 JRE (1.8.0_261-b25), built on Jun 18 2020 01:36:43 by "java_re" with gcc 7.3.0
Memory: 4k page, physical 99188216k(4447144k free), swap 33550328k(33422744k free)
CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=12884901888 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2022-06-29T12:53:04.107-0400: 2.252: [GC (Metadata GC Threshold) [PSYoungGen: 178245K->21660K(305664K)] 178245K->21748K(1005056K), 0.0242886 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2022-06-29T12:53:04.131-0400: 2.276: [Full GC (Metadata GC Threshold) [PSYoungGen: 21660K->0K(305664K)] [ParOldGen: 88K->20954K(699392K)] 21748K->20954K(1005056K), [Metaspace: 20715K->20715K(1069056K)], 0.0346052 secs] [Times: user=0.18 sys=0.02, real=0.04 secs] 
2022-06-29T12:53:05.723-0400: 3.868: [GC (Metadata GC Threshold) [PSYoungGen: 134547K->18912K(379904K)] 155501K->39938K(1079296K), 0.0128277 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2022-06-29T12:53:05.736-0400: 3.881: [Full GC (Metadata GC Threshold) [PSYoungGen: 18912K->0K(379904K)] [ParOldGen: 21026K->26748K(731136K)] 39938K->26748K(1111040K), [Metaspace: 34717K->34717K(1081344K)], 0.0393390 secs] [Times: user=0.19 sys=0.02, real=0.04 secs] 
2022-06-29T12:53:55.985-0400: 54.130: [GC (Metadata GC Threshold) [PSYoungGen: 355888K->24513K(472064K)] 382636K->51269K(1203200K), 0.0209110 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2022-06-29T12:53:56.006-0400: 54.151: [Full GC (Metadata GC Threshold) [PSYoungGen: 24513K->0K(472064K)] [ParOldGen: 26756K->40579K(1038336K)] 51269K->40579K(1510400K), [Metaspace: 57994K->57987K(1101824K)], 0.1328649 secs] [Times: user=0.90 sys=0.03, real=0.13 secs] 
2022-06-29T12:53:59.163-0400: 57.308: [GC (Allocation Failure) [PSYoungGen: 447488K->35703K(524800K)] 488067K->76331K(1563136K), 0.0296167 secs] [Times: user=0.05 sys=0.03, real=0.03 secs] 
2022-06-29T12:54:00.954-0400: 59.100: [GC (Metadata GC Threshold) [PSYoungGen: 324429K->24306K(524800K)] 365057K->64942K(1563136K), 0.0148644 secs] [Times: user=0.07 sys=0.01, real=0.01 secs] 
